Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
pol000030;;Wielogłowski, Walery;0;Kucharki;Obrazek z obyczajów domownictwa miejskiego;;;1858;;;;;22;false;;1858;22;16;6;0;0;5;21;;22;0;11549;8188;115;230;0;wieloglowski_kucharki;pol000030;PolDraCor;1858;;male;1805;1865;"Anna (F); Apolonija (F); Franusia (F); Halka (F); Inspektor komissarza (M); Jadwiga (F); Katarzyna (F); Kunda (F); Maryanna (F); Mąż Reginy (M); Obywatel z miasta (F); Pan komissarz okręgowy (M); Pani K (F); Pani Z (F); Policyant (M); Przekupka (F); Regina (F); Róża (F); Salomea (F); Urzędnik z magistratu (M); Wdowa (F); Woźny (M)";;53;false;https://www.wikidata.org/wiki/Q9370511;DraCor: https://dracor.org/;texts/wieloglowski_kucharki.xml
pol000029;;Bałucki, Michał;0;Polowanie na męża;Komedia z życia mieszczańskiego w 2 aktach;Comedy;;1865;;;;;8;false;;1865;8;3;5;0;0;1;23;;18;2;8017;7753;1027;409;0;balucki_polowanie-na-meza;pol000029;PolDraCor;1865;;male;1837;1901;"Aniela (F); Babka (F); Błażej (M); Karol (M); Kasia (F); Leon (M); Lokaj (M); Walenty (M)";;28;false;https://www.wikidata.org/wiki/Q1894116;DraCor: https://dracor.org/;texts/balucki_polowanie-na-meza.xml
pol000028;;Anczyc, Władysław;0;Chłopi arystokraci;Szkic dramatyczny w jednej odsłonie ze śpiewkami;;;1849;;;;;10;false;1849;1850;10;3;7;0;0;1;37;;16;0;7515;7272;511;353;0;anczyc_chlopi-arystokraci;pol000028;PolDraCor;1849;;male;1823;1883;"Feldwebel (M); Jędrzejowa (F); Katarzyna (F); Marcin (M); Marysia (F); Mojsiek (M); Stanisław (M); Szczepan (M); Wojciech (M); Żydek (M)";;26;false;https://www.wikidata.org/wiki/Q713375;DraCor: https://dracor.org/;texts/anczyc_chlopi-arystokraci.xml
pol000027;;Rajszel, Ludwik;0;Dymisjonowany kawaler;Komedioopera w jedym akcie oryginalnie napisana;Comedy;;1823;;;;;7;false;;1823;7;2;5;0;0;1;21;;13;0;6797;6517;953;286;0;rajszel_dymissyowany-kawaler;pol000027;PolDraCor;1823;;male;1805;1871;"Flankier (M); Floransowicz (M); Helena (F); Madam de Tul (F); Piotruś (M); Zdzisław (M); Łukasz (M)";;18;false;;DraCor: https://dracor.org/;texts/rajszel_dymissyowany-kawaler.xml
pol000026;;Siemoński, Adam;0;Panna Intrygalska, czyli Chytrość uniewinniona;Komedia oryginalna w trzech aktach;Comedy;;1828;;;;;15;false;;1828;15;4;11;0;0;1;58;;37;3;15436;13249;728;388;0;siemonski_panna-intrygalska;pol000026;PolDraCor;1828;;male;;;"Administrator (M); Adolf (M); Emilia (F); Hrabia (M); Hrabina (F); Licytant I (M); Licytant II (M); Lokay (M); Mośkowicz (M); Niewiadoma (F); Pachołcy (M); Skąpicka (F); Skąpicki (M); Woźny (M); Zawiło (M)";;;;;DraCor: https://dracor.org/;texts/siemonski_panna-intrygalska.xml
pol000025;Q78156643;Fredro, Aleksander;0;Damy i huzary;Komedia we trzech aktach, prozą;Comedy;;1825;;;;;13;false;1825;1826;13;7;6;0;0;1;70;;54;3;13222;12218;1746;1243;0;fredro_damy-i-huzary;pol000025;PolDraCor;1825;;male;1793;1876;"Aniela (F); Dyndalska (F); Fruzia (F); Grzegorz (M); Juzia (F); Kapelan (M); Major (M); Orgonowa (F); Porucznik (M); Rembo (M); Rotmistrz (M); Zofija (F); Zuzia (F)";;32;false;https://www.wikidata.org/wiki/Q380506;DraCor: https://dracor.org/;texts/fredro_damy-i-huzary.xml
pol000024;;Dmuszewski, Ludwik;0;Siedem razy jeden;Komedioopera w jednym akcie;Comedy;;1804;;;;;10;false;1804;1805;10;2;8;0;0;1;21;;10;0;5463;5332;176;262;0;dmuszewski_siedem-razy-jeden;pol000024;PolDraCor;1804;;male;1777;1847;"Angelika (F); Cześnikowicz (M); Emilia (F); Gawronek (M); Hrabia (M); Księgarz (M); Lokay (M); Staruszek (M); Walery (M); Złotołów (M)";;27;false;https://www.wikidata.org/wiki/Q8861068;DraCor: https://dracor.org/;texts/dmuszewski_siedem-razy-jeden.xml
pol000023;;Bohomolec, Franciszek;0;Podejrzliwi;Komedia we trzech aktach;Comedy;;1781;;;;;9;false;;1781;9;3;6;0;0;1;21;;24;3;6482;6305;300;249;0;bohomolec_podeyrzliwi;pol000023;PolDraCor;1781;;male;1720;1784;"Agatka (F); Biedak (M); Bogacki (M); Gaszkiewicz (M); Krewny Prostakiewicza Żony (M); Prostakiewicz (M); Rozalia (F); Staruszkiewicz (M); Żona Prostakiewicza (F)";;61;false;https://www.wikidata.org/wiki/Q609575;DraCor: https://dracor.org/;texts/bohomolec_podeyrzliwi.xml
pol000022;;Bończa-Tomaszewski, Michał;0;Uszczęśliwienie narodu czyli miłość i wdzięczność w poddanych;Drama we dwóch aktach;;;1802;;;;;11;false;;1802;11;3;7;0;0;1;55;;22;2;15365;14417;916;613;0;boncza_uszczesliwienie-narodu;pol000022;PolDraCor;1802;;male;;1813;"Anielika (F); Błażey (M); Chór (Unk); Dalbor (M); Elżbieta (F); Kampler (M); Karol (M); Pani Dalbor (F); Reinhard (M); Wanewille (M); Wieśniak (M)";;;false;https://www.wikidata.org/wiki/Q104181175;DraCor: https://dracor.org/;texts/boncza_uszczesliwienie-narodu.xml
pol000021;;Bohomolec, Franciszek;0;Czary;Komedia we trzech aktach;Comedy;;1773;;;;;9;false;;1773;9;3;6;0;0;1;26;;27;3;11464;11252;175;633;0;bohomolec_czary;pol000021;PolDraCor;1773;;male;1720;1784;"Drągayło (M); Dziwomir (M); Gwarzyło (M); Konstancya (F); Kręciwąs (M); Lubisław (M); Miłogost (M); Nastka (F); Olechna (F)";;53;false;https://www.wikidata.org/wiki/Q609575;DraCor: https://dracor.org/;texts/bohomolec_czary.xml
pol000020;;Broniszewski, Grzegorz;0;Filut postrzeżony;Komedia oryginalna we trzech aktach;Comedy;;1786;;;;;11;false;;1786;11;3;8;0;0;1;39;;37;3;11840;11449;661;411;0;broniszewski_filut-postrzezony;pol000020;PolDraCor;1786;;male;;;"Adam (M); Cnotliwski (M); Cześnik (M); Cześnikowa (F); Gałda (M); Frontyni (M); Perswadowski (M); Szykanowicz (M); Wścibska (F); Zuzanna (F); Łatwowierski (M)";;;;;DraCor: https://dracor.org/;texts/broniszewski_filut-postrzezony.xml
pol000019;Q11737515;Czartoryski, Adam Kazimierz;0;Kawa;Komedia w jednym akcie;Comedy;;1779;;;;;10;false;;1779;10;5;6;0;0;1;28;;13;0;7000;5071;228;169;0;czartoryski_kawa;pol000019;PolDraCor;1779;;male;1734;1823;"Dorant (M); Eliza (F); Fryzer (M); Julusia (F); Michałek (M); Sensatkiewicz (M); Sentymencicka (F); Sobąnudzka (F); Szastański (M); Trzepałkowska (F); Walery (M)";;45;false;https://www.wikidata.org/wiki/Q349948;DraCor: https://dracor.org/;texts/czartoryski_kawa.xml
pol000018;Q9161474;Perzyński, Włodzimierz;0;Aszantka;Komedia w 3 aktach;Comedy;;1906;;;;;13;false;;1906;13;4;9;0;0;1;30;;31;3;13133;12283;2175;970;0;perzyzski_aszantka;pol000018;PolDraCor;1906;;male;1877;1930;"Bratkowski (M); Franek (M); Gosposia (F); Jan (M); Kręcki (M); Lutoborski (M); Pan dyrektor (M); Pani Lubartowska (F); Posłaniec (M); Romowski (M); Viola (F); Władka (F); Łoński (M)";;29;false;https://www.wikidata.org/wiki/Q8028923;DraCor: https://dracor.org/;texts/perzyzski_aszantka.xml
pol000017;Q119719222;Bałucki, Michał;0;Grube ryby;Komedia w trzech aktach;Comedy;;1881;;;;;9;false;1881;1881;9;3;6;0;0;1;29;;23;3;12745;12423;1632;969;0;balucki_grube-ryby;pol000017;PolDraCor;1881;;male;1837;1901;"Burczyński (M); Dorota (F); Filip (M); Helena (F); Henryk (M); Onufry (M); Pagatowicz (M); Wanda (F); Wistowski (M)";;44;false;https://www.wikidata.org/wiki/Q1894116;DraCor: https://dracor.org/;texts/balucki_grube-ryby.xml
pol000016;;Laudyn-Chrzanowska, Stefania;0;Zmarnowane życie.;Dramat w pięciu aktach;;;1895;;;;;11;false;;1895;11;4;8;0;0;1;22;;20;5;16892;16194;3804;273;0;laudyn_zmarnowane-zycie;pol000016;PolDraCor;1895;;female;;;"Anna (F); Julja Moszczyńska (F); Doktor (M); Andrzej Górski (M); Edward Karski (M); Jan (M); Paweł (M); Przyborski (M); Stebelska (F); Służąca (F); Służący (M); Tancerz (M)";;;;;DraCor: https://dracor.org/;texts/laudyn_zmarnowane-zycie.xml
pol000015;;Świętochowski, Aleksander;0;Ojciec Makary;Dramat w trzech aktach Władysława Okońskiego;;;1876;;;;;11;false;;1876;11;4;7;0;0;1;27;;18;3;14306;13885;1107;618;0;swietochowski_ojciec-makary;pol000015;PolDraCor;1876;;male;1849;1938;"Antoni (M); Aureli (M); Cecylia (F); Jacenty (M); Ksawery (M); Makary (M); Marya (F); Melania (F); Regina (F); Szpitalny służący (M); Służący (M)";;27;false;https://www.wikidata.org/wiki/Q723324;DraCor: https://dracor.org/;texts/swietochowski_ojciec-makary.xml
pol000014;Q19156120;Narzymski, Józef;0;Pozytywni;Komedia w czterech aktach;Comedy;;1875;;;;;14;false;;1875;14;3;11;0;0;1;61;;63;4;24200;23420;3502;1306;0;narzymski_pozytywni;pol000014;PolDraCor;1875;;male;1839;1872;"Alfred (M); Choryński (M); Dowgiełło (M); Eugeniusz (M); Franciszek (M); Gwazdalski (M); Hanna (F); Hrabia (M); Julia (F); Leon (M); Lokaj Dowgiełły (M); Lokaj Choryńskich (M); Lokaj Zenobii (M); Zenobia (F)";;;true;https://www.wikidata.org/wiki/Q11731027;DraCor: https://dracor.org/;texts/narzymski_pozytywni.xml
pol000013;;Oraczewski, Feliks;0;Zabawy, czyli życie bez celu;Komedia we trzech aktach;Comedy;;1780;;;;;12;false;;1780;12;4;8;0;0;1;47;;38;3;12523;12090;584;464;0;oraczewski_zabawy;pol000013;PolDraCor;1780;;male;1739;1799;"Cześnikowa (F); Lorens (M); Luiza (F); Lustratorowicz (M); Michał (M); Pułkownikowicz (M); Rewizorowicz (M); Starosta (M); Starościna (F); Subdelegatowicz (M); Teresa (F); Zacniewski (M)";;41;false;https://www.wikidata.org/wiki/Q4335691;DraCor: https://dracor.org/;texts/oraczewski_zabawy.xml
pol000012;;Korzeniowski, Józef;0;Aniela;Tragedia w pięciu aktach;Tragedy;;1826;;;;;15;false;;1826;15;6;9;0;0;1;34;;30;5;17935;17557;1209;567;0;korzeniowski_aniela;pol000012;PolDraCor;1826;;male;1797;1863;"Aniela (F); Grabarz (M); Gustaw (M); Helena (F); Herman (M); Lokaj (M); Ludwik (M); Marja (F); Służąca pierwsza (F); Służąca druga (F); Służący (M); Urzędnik policyi (M); Urzędnik sądowy (M); Wilhelm (M); Zosia (F)";;29;false;https://www.wikidata.org/wiki/Q2338973;DraCor: https://dracor.org/;texts/korzeniowski_aniela.xml
pol000011;;Siemoński, Adam;0;Anarchia domowa, czyli Moc miłości ojcowskiej;Drama w pięciu aktach;;;1808;;;;;30;false;1820;1833;30;7;23;0;0;1;121;1808;57;5;14529;13480;1429;324;0;siemonski_anarchia-domowa;pol000011;PolDraCor;1808;;male;;;"Aquino (M); Baron (M); Dziennikarz (M); Dzierżawca pieniacz (M); Edward (M); Gracz (M); Guwerner (M); Henryk (M); Jan lenlokaj (M); Karolka (F); Kukuma (F); Liwja (F); Longville (M); Lord 1wszy (M); Lord 2gi (M); Marysia (F); Mizantrop (M); Obłąkana (F); Obłąkany (M); Pan Forester (M); Pan Simple (M); Pani Forester (F); Pani Simple (F); Pastor (M); Pijak lokaj (M); Postylion (M); Rostropnicki (M); Służący (M); Theolog (M); Xiążę Longville (M)";;;;;DraCor: https://dracor.org/;texts/siemonski_anarchia-domowa.xml
pol000010;;Bończa-Tomaszewski, Michał;0;Kobiety, jakich mało na świecie czyli cnota nadgrodzona;drama we trzech aktach;;;1799;;;;;20;false;;1799;20;4;14;0;2;1;113;;53;3;24333;23665;1248;1067;0;boncza-tomaszewski-kobiety;pol000010;PolDraCor;1799;;male;;1813;"Lotary (M); D'Artur (F); Ludwik (M); Fani (F); Murer (F); Karolina (F); Doras (M); Albert (M); Gierycht (M); Vice-prezydent (M); Sekretarz (M); Lorens (M); Maciey (M); Gamacz (M); Bryftregier (M); Instygator (M); Wozny (M)";;;false;https://www.wikidata.org/wiki/Q104181175;DraCor: https://dracor.org/;texts/boncza-tomaszewski-kobiety.xml
pol000009;Q11785407;Zapolska, Gabriela;0;Moralność pani Dulskiej;Komedya w trzech aktach;Comedy;;1906;;;;;9;false;1906;1907;9;7;2;0;0;1;28;;43;3;15261;14340;2384;1138;0;zapolska-moralnosc;pol000009;PolDraCor;1906;;female;1857;1921;"Pani Dulska (F); Pan Dulski (M); Zbyszko Dulski (M); Hesia (F); Mela (F); Juljasiewiczowa (F); Lokatorka (F); Hanka (F); Tadrachowa (F)";;49;false;https://www.wikidata.org/wiki/Q454870;DraCor: https://dracor.org/;texts/zapolska-moralnosc.xml
pol000008;;Broniszewski, Grzegorz;0;Kochanek bez serca czyli Guwernantka zalotna;komedya w trzech aktach oryginalna;Comedy;;1787;;;;;9;false;;1787;9;4;5;0;1;1;24;;42;3;14725;14282;841;499;0;broniszewski-kochanek;pol000008;PolDraCor;1787;;male;;;"Starościna (F); Starościc (M); Melissa (F); Szambellan (M); Doyrzalska (F); Szyper (M); Salusia (F); Tryfon (M); Szperka (M)";;;;;DraCor: https://dracor.org/;texts/broniszewski-kochanek.xml
pol000007;;Oraczewski, Feliks;0;Polak cudzoziemiec w Warszawie;komedya we trzech aktach;Comedy;;1778;;;;;9;false;;1778;9;3;6;0;0;1;33;;35;3;11767;11478;426;359;0;oraczewski-polak-cudzoziemiec;pol000007;PolDraCor;1778;;male;1739;1799;"Starosta (M); Helena (F); Wiernicki (M); Agatka (F); Erazm (M); Marquis de Trantquarant (M); Podczaszyna (F); Podczaszy (M); Bartłomiey (M)";;39;false;https://www.wikidata.org/wiki/Q4335691;DraCor: https://dracor.org/;texts/oraczewski-polak-cudzoziemiec.xml
pol000006;;Pasławski, Antoni;0;Poczciwski czyli Wybiegi niepospolite;komedya we trzech aktach oryginalnie w polskim języku napisana;Comedy;;1808;;;;;12;false;;1808;12;2;10;0;0;1;22;;34;3;13657;13202;530;541;0;paslawski-poczciwski;pol000006;PolDraCor;1808;;male;;;"Aryst (M); Izabella (F); Bogacki (M); Zdzierski (M); Poczciwski (M); Agatka (F); Rzetelnicki (M); Franciszek (M); Karolek (M); Suszykufel (M); Obrotnicki (M); Johan (M)";;;;;DraCor: https://dracor.org/;texts/paslawski-poczciwski.xml
pol000005;;Skarbek, Fryderyk;0;Czemuż nie była sierotą!;Drama w 3 aktach;;;1833;;;;;14;false;;1833;14;7;8;0;1;1;33;;26;3;10857;10521;1471;396;0;skarbek-czemuz-nie-byla-sierota;pol000005;PolDraCor;1833;;male;1792;1866;"Starościna (F); Gustaw (M); Celina (F); Matylda (F); Alfred (M); Matka Emilii (F); Emilia (F); Piotrowa (F); Filip (M); Inspektor Policyi (M); Walenty (M); Jan (M); Służąca Celiny (F); Stolarz (M)";;41;false;https://www.wikidata.org/wiki/Q4796342;DraCor: https://dracor.org/;texts/skarbek-czemuz-nie-byla-sierota.xml
pol000004;;Skarbek, Fryderyk;0;Roztrzepany;Komedya w 3 aktach;Comedy;;1832;;;;;10;false;;1832;10;4;6;0;0;1;35;;26;3;11593;11224;1568;615;0;skarbek-roztrzepany;pol000004;PolDraCor;1832;;male;1792;1866;"Pan Anzelm (M); Pani Anzelmowa (F); Julia (F); Ludwik (M); Karol (M); Zuzanna (F); Julisia (F); Ćwik (M); Jan (M); Lokaj (M)";;40;false;https://www.wikidata.org/wiki/Q47963427;DraCor: https://dracor.org/;texts/skarbek-roztrzepany.xml
pol000003;Q19147056;Bliziński, Józef;0;Marcowy kawaler;krotochwila w jednym akcie;Comedy;;1873;;;;;5;false;;1873;5;2;3;0;0;1;9;;15;0;7646;7439;1162;490;0;blizinski-marcowy-kawaler;pol000003;PolDraCor;1873;;male;1827;1893;"Ignacy (M); Heljodor (M); P. Eulalja (F); Grzempieleski (M); Pawłowa (F)";;46;false;https://www.wikidata.org/wiki/Q4088137;DraCor: https://dracor.org/;texts/blizinski-marcowy-kawaler.xml
pol000002;Q124745998;Korzeniowski, Józef;0;Panna mężatka;komedya we trzech aktach;Comedy;;1845;;;;;6;false;;1845;6;2;4;0;0;1;12;;4;3;11794;11470;1174;649;0;korzeniowski-panna-mezatka;pol000002;PolDraCor;1845;;male;1797;1863;"Półkownikowa (F); Cecylia (F); Adolf (M); Major (M); Jakob (M); Ignacy (M)";;48;false;https://www.wikidata.org/wiki/Q2338973;DraCor: https://dracor.org/;texts/korzeniowski-panna-mezatka.xml
pol000001;Q118129428;Dmuszewski, Ludwik;0;Pięć siostr a jedna.;Komedya w jednym akcie;Comedy;;1820;;;;;10;false;1820;1820;10;5;5;0;0;1;22;;13;0;6315;6127;379;324;0;dmuszewski-piec-siostr-a-jedna;pol000001;PolDraCor;1820;;male;1777;1847;"Ludwika (F); Karolina (F); Jozefa (F); Konstancya (F); Amelia (F); Staruszkiewicz (M); Wietrznicki (M); Oszczędnicki (M); Spokoynicki (M); Lokay (M)";;43;false;https://www.wikidata.org/wiki/Q8861068;DraCor: https://dracor.org/;texts/dmuszewski-piec-siostr-a-jedna.xml
